Time,TPS,Latency
14.102461,8876.721945,1.000000
14.102509,8877.387126,1.000000
14.102615,8878.037271,1.000000
14.102694,8878.677571,1.000000
14.102778,8879.326648,1.000000
14.102973,8880.010428,1.000000
14.103353,8880.689402,1.000000
14.103576,8881.331609,1.000000
14.103705,8881.990811,1.000000
14.103844,8882.647302,1.000000
14.103877,8883.233133,1.000000
14.104434,8883.702940,1.000000
14.104461,8884.271384,1.000000
14.104627,8884.899288,1.000000
14.104730,8885.521144,1.000000
14.105106,8886.209326,1.000000
14.105138,8886.567213,1.000000
14.105181,8887.259118,1.000000
14.105266,8887.863772,1.000000
14.105685,8888.507614,1.000000
14.105814,8888.979741,1.000000
14.105874,8889.668536,1.000000
14.106054,8890.350185,1.000000
14.106146,8891.005802,1.000000
14.106184,8891.450687,1.000000
14.106546,8892.077881,1.000000
14.106596,8892.749456,1.000000
14.106772,8893.344738,1.000000
14.107004,8893.995593,1.000000
14.107738,8894.680202,1.000000
14.107978,8895.161154,1.000000
14.108610,8895.838540,1.000000
14.108885,8896.436249,1.000000
14.108992,8896.999071,1.000000
14.109281,8897.245007,1.000000
14.109780,8897.802443,1.000000
14.110278,8898.112729,1.000000
14.110540,8898.647698,1.000000
14.111741,8899.288901,1.000000
14.111854,8899.815345,1.000000
14.112010,8900.209326,1.000000
14.112729,8900.603911,1.000000
14.113027,8901.147390,1.000000
14.113522,8901.099026,1.000000
14.114889,8901.735824,1.000000
14.115117,8902.346063,1.000000
14.115329,8902.601490,1.000000
14.115556,8903.121706,1.000000
14.115772,8903.518226,1.000000
14.115863,8903.364567,1.000000
14.115949,8903.929265,1.000000
14.116046,8904.503801,1.000000
14.116114,8905.069120,1.000000
14.116259,8905.641387,1.000000
14.116336,8906.292188,1.000000
14.116464,8906.946609,1.000000
14.116529,8907.593739,1.000000
14.116682,8908.259003,1.000000
14.116752,8908.876138,1.000000
14.116828,8909.536021,1.000000
14.116902,8910.163522,1.000000
14.117616,8910.830911,1.000000
14.117951,8911.442557,1.000000
14.118024,8912.106904,1.000000
14.118233,8912.767168,1.000000
14.118429,8913.428976,1.000000
14.118512,8913.686329,1.000000
14.118594,8914.183374,1.000000
14.118924,8914.845070,1.000000
14.119044,8915.421929,1.000000
14.119101,8916.006480,1.000000
14.119239,8916.661960,1.000000
14.120103,8917.318511,1.000000
14.120193,8917.818225,1.000000
14.120289,8918.450721,1.000000
14.122800,8919.122845,1.000000
14.123616,8919.744450,1.000000
14.123712,8919.906420,1.000000
14.124137,8920.557745,1.000000
14.124399,8921.205639,1.000000
14.124513,8920.327203,1.000000
14.126117,8920.519913,1.000000
14.126355,8921.167361,1.000000
14.126409,8921.606849,1.000000
14.126459,8922.149458,1.000000
14.127220,8922.785330,1.000000
14.127864,8922.480491,1.000000
14.127976,8923.037562,1.000000
14.128200,8923.711926,1.000000
14.139795,8924.387705,1.000000
14.144025,8924.615060,1.000000
14.145485,8924.916117,1.000000
14.148015,8925.553391,1.000000
14.149071,8926.119260,1.000000
14.150670,8919.506861,1.000000
14.150797,8917.546166,1.000000
14.152461,8917.333118,1.000000
14.153805,8916.445327,1.000000
14.153929,8916.486723,1.000000
14.154002,8916.185646,1.000000
14.154082,8916.812194,1.000000
14.154387,8916.470507,1.000000
14.155182,8916.330010,1.000000
14.155318,8916.958676,1.000000
14.156110,8917.619253,1.000000
14.156410,8918.275307,1.000000
